Ниво,Години опит,Java,C/C++,C#,JavaScript,Visual Basic .NET,PHP,Ruby,Python,Android,Objective-C/Swift,QA Enginner,Other, Заплата,Раб. време,Overtime,Град,Год. Бонус
Junior,1-3,,,,,,PHP,,,,,,,1500,Гъвкаво,Не,Пловдив,0
Junior,1-3,,,,JavaScript,,,,,,,,,2400,Стриктно,"Да, но се заплаща",Варна,0
Senior,10+,,C/C++,,,,,,,,,,,5000,Гъвкаво,Не,София,0
Lead Developer/TL,10+,,,,,,,,,,,,HW engineer in IT company,4600,Гъвкаво,"Да, но не се заплаща",София,0
Senior,3-5,,,C#,JavaScript,,,,,,,,,3700,Гъвкаво,"Да, но се заплаща",София,0
Senior,10+,,C/C++,,,,,,,,,,,5000,Гъвкаво,"Да, но се заплаща",Варна,5000
Mid Level,1-3,Java,,,,,,,,,,,,1800,Гъвкаво,Не,София,0
Senior,10+,Java,C/C++,C#,JavaScript,Visual Basic .NET,,,,,,,,8500,Гъвкаво,"Да, но не се заплаща",Варна,15000
Senior,10+,,,C#,,Visual Basic .NET,,,,,,,,3900,Стриктно,Не,София,11000
Mid Level,3-5,,C/C++,,,,,,,,,,,2700,Гъвкаво,"Да, но се заплаща",София,300
Mid Level,1-3,,,,,,,,,,Objective-C/Swift,,,3000,Гъвкаво,"Да, но се заплаща",Remote,0
Lead Developer/TL,10+,,,,,,,,,,,,SAP,10000,Стриктно,"Да, но се заплаща",Remote,10000
Junior,<1,,C/C++,C#,JavaScript,Visual Basic .NET,PHP,,,,,,,700,Гъвкаво,Не,Пловдив,0
Senior,10+,Java,,,,,,,,,,,,5100,Стриктно,"Да, но се заплаща",София,1000
Mid Level,5-7,Java,,,,,,,,,,,Image processing,4000,Гъвкаво,"Да, но не се заплаща",София,0
Junior,1-3,,,,,,PHP,,,,,,,2000,Стриктно,"Да, но не се заплаща",София,0
Senior,7-10,,,,JavaScript,,,,,,,,,4500,Гъвкаво,Не,Варна,0
Mid Level,3-5,Java,,,,,,,,,,,,1300,Стриктно,"Да, но се заплаща",Русе,1300
Junior,1-3,,,,,,PHP,,,,,,,1500,Гъвкаво,"Да, но се заплаща",Варна,1500
Senior,3-5,Java,C/C++,C#,JavaScript,Visual Basic .NET,PHP,,,,,,,5000,Гъвкаво,"Да, но се заплаща",София,15000
Mid Level,5-7,,,,,,,,,,Objective-C/Swift,,,2100,Стриктно,"Да, но се заплаща",Варна,0
Mid Level,5-7,,C/C++,,,,,,,,,,,4000,Гъвкаво,Не,София,5000
Mid Level,3-5,,,,,,,,,,,,Windows/AD/Hardware support,1700,Гъвкаво,"Да, но се заплаща",София,6760
Senior,10+,,,,JavaScript,,PHP,,Python,,,,,8000,Гъвкаво,Не,София,0
Mid Level,5-7,,,,,,,,,,,,"not dev, DBA",4200,Стриктно,Не,София,10000
Senior,3-5,,,C#,,,,,,,,,,4500,Гъвкаво,Не,София,0
Senior,10+,,,C#,JavaScript,Visual Basic .NET,,,,,,,,5000,Гъвкаво,"Да, но се заплаща",София,6000
Mid Level,5-7,,,,,Visual Basic .NET,,,,,,,SAP BW,2900,Стриктно,"Да, но не се заплаща",София,500
Lead Developer/TL,10+,,C/C++,,JavaScript,,PHP,,,,,,,3000,Гъвкаво,"Да, но не се заплаща",София,3000
Mid Level,1-3,,,,,,,,,,,QA Enginner,,1200,Стриктно,Не,София,1200
Junior,<1,Java,,,,,,,,,,,,600,Стриктно,Не,София,0
Junior,1-3,,,C#,,,,,,,,,,950,Стриктно,Не,Пловдив,0
Lead Developer/TL,10+,Java,,C#,JavaScript,Visual Basic .NET,,,Python,Android,,,,9600,Гъвкаво,"Да, но се заплаща",София,12000
Mid Level,1-3,Java,,,JavaScript,,,,,,,,,2500,Гъвкаво,Не,София,0
Lead Developer/TL,10+,,,C#,,,,,,,,,,4900,Гъвкаво,Не,София,10000
Lead Developer/TL,5-7,Java,,,,,,,,Android,,,,7000,Гъвкаво,Не,София,2000
Mid Level,5-7,Java,,,,,,,,,,,,2500,Гъвкаво,"Да, но се заплаща",София,0
Mid Level,7-10,Java,,,,,,,,,,,,2740,Гъвкаво,"Да, но се заплаща",Варна,500
Mid Level,3-5,,,,,Visual Basic .NET,,,,,,,,700,Стриктно,Не,София,1500
Junior,<1,Java,,C#,JavaScript,,,,Python,,,,,1200,Гъвкаво,"Да, но не се заплаща",София,0
Junior,1-3,,,,,,,,,,,,Network administrator,900,Стриктно,"Да, но не се заплаща",Бургас,0
Mid Level,7-10,,,,,,PHP,,,,,,,1800,Стриктно,Не,Пловдив,10000
Senior,10+,,,C#,,,,,,,,,,4200,Стриктно,Не,София,4000
Mid Level,3-5,,,,,,,,,,,QA Enginner,,2700,Стриктно,"Да, но се заплаща",София,1
Mid Level,1-3,Java,,,,,,,,,,,,3100,Гъвкаво,"Да, но не се заплаща",София,0
Mid Level,3-5,,,,JavaScript,,PHP,,,,,,,760,Гъвкаво,"Да, но не се заплаща",Варна,0
Senior,5-7,,,C#,,,,,,,,,,3700,Гъвкаво,Не,София,1000
Junior,1-3,Java,C/C++,,,,,Ruby,Python,,,,,800,Гъвкаво,Не,София,200
Junior,1-3,Java,,,JavaScript,,PHP,,,,,,,1600,Гъвкаво,Не,София,0
Senior,7-10,,,C#,,Visual Basic .NET,,,,,,,,800,Стриктно,"Да, но не се заплаща",София,0
Mid Level,3-5,Java,C/C++,,,Visual Basic .NET,,,,,,,,3000,Стриктно,"Да, но не се заплаща",София,0
Junior,1-3,,,,,,,,,,,,Scrum master/QA,2100,Гъвкаво,"Да, но се заплаща",София,1000
Senior,3-5,Java,,,,,,,,,,,,4600,Стриктно,"Да, но не се заплаща",София,2000
Mid Level,1-3,,,C#,,,,,,,,,,2300,Гъвкаво,Не,София,2000
Senior,1-3,,,C#,JavaScript,,,,,,,,,4900,Стриктно,"Да, но не се заплаща",София,0
Senior,10+,Java,,,,,,,,,,,,4000,Стриктно,Не,София,0
Lead Developer/TL,10+,,,C#,JavaScript,Visual Basic .NET,,,,,,,,6500,Гъвкаво,Не,София,1000
Lead Developer/TL,10+,,C/C++,C#,JavaScript,,,,,,,,,7000,Гъвкаво,"Да, но не се заплаща",София,0
Senior,3-5,,,,,,,,,,Objective-C/Swift,,,4000,Стриктно,Не,София,3000
Mid Level,1-3,,,C#,JavaScript,,,,,,,,,2500,Стриктно,"Да, но се заплаща",София,2000
Senior,10+,,C/C++,,,,,,,Android,,,,8500,Гъвкаво,"Да, но се заплаща",София,0
Mid Level,3-5,,,,JavaScript,,,,Python,,,,,5000,Стриктно,"Да, но се заплаща",Бургас,1000
Mid Level,1-3,,,,,,,,,,,,SQL,2300,Стриктно,Не,София,0
Junior,1-3,,,C#,,,,,,,,,,2000,Стриктно,Не,София,2000
Senior,7-10,,,,JavaScript,,PHP,,,,,,,2800,Стриктно,Не,Варна,0
Senior,3-5,Java,C/C++,,JavaScript,,PHP,,Python,,,,,8000,Гъвкаво,"Да, но се заплаща",София,8000
Mid Level,1-3,,,C#,,,,,,,,,,2800,Стриктно,Не,София,0
Mid Level,1-3,Java,C/C++,,JavaScript,,PHP,,,Android,,,,3000,Стриктно,Не,София,1250
Mid Level,3-5,,,C#,,,,,,,,,,3500,Гъвкаво,Не,София,0
Mid Level,7-10,,,,,Visual Basic .NET,,,,,,QA Enginner,,2850,Стриктно,"Да, но не се заплаща",София,0
Mid Level,1-3,,,C#,,Visual Basic .NET,,,,,,,,3100,Стриктно,Не,София,0
Senior,5-7,,,C#,JavaScript,,,,,,,,,4000,Гъвкаво,"Да, но не се заплаща",София,0
Junior,<1,,,,,,,,Python,,,,,750,Гъвкаво,"Да, но не се заплаща",София,500
Lead Developer/TL,10+,,C/C++,,,,,,,,,,,6500,Гъвкаво,"Да, но се заплаща",София,0
Junior,<1,,,,,Visual Basic .NET,,,,,,,,1600,Стриктно,"Да, но не се заплаща",София,0
Senior,5-7,Java,,,,,,,,,,,,5000,Гъвкаво,Не,Варна,0
Junior,<1,Java,,C#,,,,,,,,,,1400,Стриктно,"Да, но се заплаща",София,0
Senior,3-5,Java,C/C++,C#,JavaScript,,PHP,,Python,,,,,3500,Стриктно,Не,София,500
Mid Level,3-5,,,,,,,,,,,,"html, css",1000,Стриктно,Не,Русе,0
Senior,5-7,Java,C/C++,C#,JavaScript,,,,,,,,,6000,Гъвкаво,"Да, но не се заплаща",София,4000
Mid Level,1-3,,,,JavaScript,,PHP,,,,,,abap,1800,Стриктно,"Да, но не се заплаща",Варна,0
Senior,5-7,,,,,,,,,,,,SAS,5300,Гъвкаво,"Да, но не се заплаща",София,6800
Senior,10+,,,,,,,,,,,,Visual FoxPro,8500,Стриктно,"Да, но се заплаща",Remote,0
Senior,7-10,,,,JavaScript,,PHP,,,,,,,3000,Гъвкаво,Не,София,600
Mid Level,1-3,,,,,,,,,,,,"R, SQL",2800,Гъвкаво,"Да, но не се заплаща",София,250
Senior,10+,,C/C++,,,,,,Python,,,,,6500,Гъвкаво,Не,София,7500
Senior,7-10,,,,,,,,,,,,Senior Business Analyst,1950,Гъвкаво,"Да, но се заплаща",София,0
Senior,5-7,Java,,,JavaScript,,,,,,,,,5000,Стриктно,"Да, но се заплаща",София,3600
Mid Level,5-7,,,,,,,,Python,,,,,2400,Гъвкаво,"Да, но се заплаща",София,800
Senior,3-5,,,,,,PHP,,,,,,,5000,Стриктно,"Да, но се заплаща",София,5000
Lead Developer/TL,10+,,,C#,JavaScript,Visual Basic .NET,,,,,,,,4000,Гъвкаво,"Да, но не се заплаща",София,3000
Senior,1-3,,,C#,JavaScript,Visual Basic .NET,,,,,,,,3730,Гъвкаво,Не,София,1500
Junior,<1,,,,JavaScript,,,,,,,,"HTML5, CSS, LESS, jQuery",1400,Гъвкаво,Не,София,0
Mid Level,3-5,Java,,,,,,,,,,,,3500,Стриктно,Не,София,0
Mid Level,3-5,,,,,,,,,,,,technical Support,2000,Стриктно,Не,София,700
Lead Developer/TL,10+,Java,C/C++,,JavaScript,,,,Python,Android,,,,8000,Гъвкаво,"Да, но се заплаща",София,15000
Mid Level,3-5,Java,,,,,,,,,,,,4000,Стриктно,"Да, но се заплаща",София,4000
Lead Developer/TL,10+,,C/C++,,,,PHP,,Python,,,,,8500,Гъвкаво,"Да, но се заплаща",София,15000
Senior,7-10,,C/C++,,,,,,,,,,,5200,Гъвкаво,"Да, но се заплаща",София,10000
Mid Level,5-7,,C/C++,,,,,,,,,,,3800,Гъвкаво,Не,София,0
Senior,5-7,,C/C++,,,,,,,,,,,4000,Стриктно,"Да, но се заплаща",София,2000
Junior,<1,Java,,C#,,,,,,,,,,1000,Стриктно,Не,София,1500
Junior,1-3,Java,,,,,,,,,,,,2500,Гъвкаво,"Да, но не се заплаща",София,0
Junior,<1,Java,,,,,,,,,,,,2500,Стриктно,"Да, но не се заплаща",София,15000
Lead Developer/TL,10+,,C/C++,,,,,,Python,,,QA Enginner,,2500,Гъвкаво,"Да, но се заплаща",София,10000
Senior,10+,,,,,,,,,,,,Sql,2600,Стриктно,"Да, но не се заплаща",София,1000
Senior,5-7,,,,,,,,,,,QA Enginner,,3000,Гъвкаво,"Да, но не се заплаща",София,2500
Lead Developer/TL,10+,,C/C++,,,,PHP,,Python,,,,,2500,Гъвкаво,"Да, но се заплаща",София,8000
Junior,1-3,,,,,,,,,,,,Dispatch,1330,Стриктно,Не,София,0
Lead Developer/TL,5-7,Java,,C#,,,,,Python,,,,,5500,Гъвкаво,"Да, но не се заплаща",София,0
Junior,<1,,,,,,,,Python,,,,,2000,Гъвкаво,"Да, но не се заплаща",София,1000
Senior,7-10,Java,,,,,,,,Android,,,,5000,Стриктно,Не,София,0
Senior,10+,,C/C++,,JavaScript,,PHP,,,,,,,3300,Гъвкаво,Не,София,4000
Mid Level,1-3,,,,,,,,Python,,,,,1900,Стриктно,"Да, но не се заплаща",София,500
Mid Level,5-7,,C/C++,C#,,,,,,,,,,1600,Гъвкаво,Не,София,0
Junior,<1,,,C#,,,,,,,,,,1400,Стриктно,"Да, но се заплаща",София,2800
Lead Developer/TL,7-10,,C/C++,C#,,,,,,,,,,5300,Гъвкаво,Не,София,0
Mid Level,1-3,Java,,C#,JavaScript,,,,,,,QA Enginner,,3000,Стриктно,Не,София,0
Mid Level,1-3,,,C#,,,,,,,,,,3000,Гъвкаво,Не,София,0
Junior,1-3,,,,,,PHP,,,Android,Objective-C/Swift,,,2000,Гъвкаво,"Да, но не се заплаща",Варна,200
Lead Developer/TL,10+,,C/C++,,,Visual Basic .NET,,,,,,,,5800,Гъвкаво,Не,София,0
Senior,10+,,C/C++,,JavaScript,,PHP,,,,,,,3500,Гъвкаво,"Да, но се заплаща",София,1000
Mid Level,5-7,Java,,,,,,,,Android,,,plsql,2000,Гъвкаво,Не,Бургас,0
Mid Level,3-5,,,,JavaScript,,,,,,,,,3300,Стриктно,"Да, но не се заплаща",София,3800
Mid Level,3-5,,,C#,JavaScript,,,,,,,QA Enginner,,2500,Гъвкаво,"Да, но не се заплаща",София,0
Junior,1-3,,,C#,,,,,,,,,,2800,Гъвкаво,Не,София,0
Lead Developer/TL,10+,,,,,,PHP,,,,,,,7800,Гъвкаво,"Да, но се заплаща",Пловдив,15000
Junior,1-3,,,,,,PHP,,,,,,Linux server administration,1300,Гъвкаво,Не,София,100
Mid Level,3-5,,,,,,,,,,,QA Enginner,,1800,Стриктно,Не,София,1000
Mid Level,1-3,Java,C/C++,,JavaScript,,PHP,,,,,,,2300,Гъвкаво,Не,Варна,2300
Lead Developer/TL,5-7,,,,,,,,Python,,,,,3000,Стриктно,Не,Варна,3000
Lead Developer/TL,10+,Java,C/C++,C#,JavaScript,,,Ruby,,,,,,3700,Гъвкаво,"Да, но се заплаща",София,6000
Senior,7-10,,C/C++,,,,,,,,,,,4000,Стриктно,"Да, но не се заплаща",София,15000
Junior,<1,,,,JavaScript,,,,,,,,,800,Стриктно,"Да, но не се заплаща",София,0
Mid Level,1-3,,,,,,,,,,,QA Enginner,SQL Server,3000,Гъвкаво,Не,София,2000
Lead Developer/TL,7-10,,,,,Visual Basic .NET,,,Python,,,,,4500,Гъвкаво,Не,София,7000
Junior,<1,Java,,,,,,,,Android,,,,1000,Гъвкаво,Не,София,1000
Mid Level,1-3,,,C#,JavaScript,,,,,,,,,3500,Гъвкаво,"Да, но се заплаща",София,0
Lead Developer/TL,7-10,,,,JavaScript,,,,,,,,,3000,Гъвкаво,"Да, но не се заплаща",София,0
Lead Developer/TL,7-10,,C/C++,,,,,,,,,,"syadmin, networks, linux, databases, vmware",5100,Гъвкаво,"Да, но се заплаща",София,10000
Senior,5-7,,,,,,,,,,,,ABAP,4700,Гъвкаво,Не,София,5000
Junior,<1,Java,,,,,PHP,,Python,,,,,1800,Гъвкаво,"Да, но се заплаща",София,0
Mid Level,3-5,,,,,,,,,,,,Perl,2300,Стриктно,Не,София,2000
Senior,7-10,,,C#,JavaScript,,,,,,,,,4300,Гъвкаво,Не,София,5000
Senior,3-5,,,,,,,,,,,,Solution design,2900,Гъвкаво,Не,София,500
Mid Level,3-5,,,C#,JavaScript,,,,,,,,,2700,Гъвкаво,Не,София,0
Senior,5-7,Java,,,JavaScript,,,,,,,,,4000,Гъвкаво,"Да, но се заплаща",София,0
Mid Level,7-10,,C/C++,,,,,,,,,,,3000,Гъвкаво,"Да, но не се заплаща",София,0
Mid Level,3-5,,,,,,,,,,,QA Enginner,,1800,Гъвкаво,Не,София,850
Senior,10+,,,C#,JavaScript,,,,,,,,,4000,Стриктно,"Да, но не се заплаща",София,2000
Junior,1-3,Java,,,,Visual Basic .NET,PHP,,,Android,,,,1000,Гъвкаво,Не,Варна,300
Senior,10+,Java,,,,,,,,,,,,1400,Стриктно,"Да, но не се заплаща",Пловдив,10000
Mid Level,5-7,Java,,,,,,,,,,QA Enginner,,2500,Гъвкаво,Не,София,3000
Lead Developer/TL,10+,,,,,,,,,,,QA Enginner,,5500,Стриктно,Не,София,7500
Mid Level,3-5,Java,C/C++,,JavaScript,,PHP,,Python,Android,,,,1880,Стриктно,"Да, но не се заплаща",София,800
Lead Developer/TL,10+,Java,,,,,,,,,,,,6000,Гъвкаво,"Да, но се заплаща",София,20
Mid Level,1-3,,,,JavaScript,,,,,,,,,2000,Гъвкаво,"Да, но не се заплаща",София,1000
Senior,5-7,,,,JavaScript,,PHP,,,,,QA Enginner,,800,Стриктно,"Да, но не се заплаща",София,2
Senior,10+,,C/C++,,JavaScript,,,Ruby,,Android,,,,6000,Гъвкаво,Не,София,5000
Junior,1-3,Java,,,JavaScript,,PHP,,,,,,,800,Гъвкаво,Не,Варна,100
Senior,10+,,,C#,,,,,,,,,,5500,Гъвкаво,Не,София,0
Senior,10+,,C/C++,,,,,,,,,,,5000,Гъвкаво,Не,София,0
Lead Developer/TL,7-10,Java,,,,,PHP,,,,,,,4500,Гъвкаво,"Да, но се заплаща",София,15000
Senior,10+,,,,JavaScript,,PHP,,,,,,,4000,Гъвкаво,Не,Remote,4000
Senior,5-7,,,,JavaScript,,PHP,,,,,,,2800,Гъвкаво,"Да, но се заплаща",София,3000
Senior,5-7,Java,,,,,,,,Android,,,,3700,Гъвкаво,Не,Пловдив,2000
Lead Developer/TL,5-7,Java,C/C++,,,,,,,Android,,,,4900,Гъвкаво,Не,София,5000
Senior,10+,,C/C++,C#,JavaScript,,,,,,,,,6000,Гъвкаво,Не,София,0
Mid Level,5-7,,,C#,JavaScript,,,,,,,QA Enginner,,2700,Гъвкаво,"Да, но не се заплаща",София,0
Mid Level,1-3,,,C#,,,,,,,,,,2300,Гъвкаво,"Да, но не се заплаща",София,0
Mid Level,5-7,,,C#,JavaScript,,,,,,,,,3000,Гъвкаво,Не,София,0
Lead Developer/TL,10+,Java,,C#,JavaScript,,,,,,,QA Enginner,,5700,Гъвкаво,"Да, но не се заплаща",София,800
Senior,5-7,,,,JavaScript,,,,,,,,,5000,Гъвкаво,"Да, но не се заплаща",София,0
Mid Level,1-3,,,,,,,,,,,QA Enginner,,2550,Гъвкаво,Не,София,0
Mid Level,1-3,,,C#,,,,,,,,QA Enginner,,3900,Гъвкаво,Не,София,0
Mid Level,5-7,,,,,,,,,,,,"SQL, Windows, Linux, TCP/IP",2000,Гъвкаво,Не,София,9600
Lead Developer/TL,5-7,,,C#,,Visual Basic .NET,,,,,,,,5000,Стриктно,Не,София,0
Lead Developer/TL,10+,,,C#,JavaScript,,,,,,,,,6000,Гъвкаво,Не,София,0
Senior,5-7,,C/C++,C#,JavaScript,,,,,,,,,3000,Гъвкаво,Не,София,0
Junior,<1,,,,JavaScript,,PHP,,,,,,,1200,Гъвкаво,Не,Варна,0
Lead Developer/TL,5-7,,,,,,,,,,,,Dynamics AX,3000,Гъвкаво,"Да, но се заплаща",София,0
Lead Developer/TL,5-7,Java,,,,,,,,,,,,5000,Гъвкаво,Не,София,5000
Senior,7-10,,,,,,,Ruby,,,,,,6000,Гъвкаво,Не,София,0
Mid Level,10+,Java,,,JavaScript,,,,,,,,,4300,Гъвкаво,"Да, но се заплаща",София,7000
Junior,<1,,,,,,,,,,,,Tech Support,2000,Гъвкаво,Не,София,0
Mid Level,1-3,,,C#,JavaScript,Visual Basic .NET,,,,,,,,3300,Гъвкаво,Не,София,2500
Junior,<1,,,C#,,,,,,,,,,810,Стриктно,"Да, но се заплаща",Велико Търново,150
Mid Level,1-3,,,,,,,,,,,,System administrator,1600,Стриктно,"Да, но не се заплаща",Remote,150
Mid Level,5-7,Java,,,JavaScript,,,,Python,,,,,5000,Гъвкаво,"Да, но не се заплаща",София,8787
Junior,1-3,Java,,,,,,,,,,,,2000,Стриктно,"Да, но не се заплаща",София,1200
Mid Level,1-3,,,,JavaScript,,,,,,,,,3000,Гъвкаво,Не,София,0
Junior,1-3,,,C#,JavaScript,,,,,,,,,1075,Стриктно,"Да, но се заплаща",Варна,0
Junior,1-3,,,,,,,,,,Objective-C/Swift,,,1200,Гъвкаво,Не,София,100
Lead Developer/TL,7-10,,,,,,,,,,,,Dimensions,3000,Гъвкаво,"Да, но се заплаща",София,1600
Senior,7-10,,,,JavaScript,,PHP,,,,,,,3900,Гъвкаво,"Да, но се заплаща",София,6000
Junior,1-3,,,,JavaScript,,,Ruby,,,,,,1750,Гъвкаво,"Да, но не се заплаща",София,0
Junior,3-5,,,,,,,,,,,,Windows,1500,Стриктно,Не,София,0
Mid Level,3-5,,,,,,,,,,,QA Enginner,,2100,Стриктно,"Да, но се заплаща",Варна,0
Mid Level,3-5,Java,C/C++,C#,JavaScript,,,,,,,,,4000,Стриктно,Не,Remote,0
Mid Level,1-3,,,,,,PHP,,,,,,,1500,Гъвкаво,"Да, но се заплаща",Варна,1500
Lead Developer/TL,<1,,,,,,,,,,Objective-C/Swift,,,4444,Гъвкаво,"Да, но не се заплаща",Пловдив,1
Senior,7-10,Java,C/C++,C#,,,,,,,,,,4500,Гъвкаво,"Да, но не се заплаща",София,6000
Junior,<1,,,,,Visual Basic .NET,,,,,,,,1000,Гъвкаво,"Да, но се заплаща",София,500
Mid Level,7-10,,,C#,,Visual Basic .NET,,,,,,,,2500,Гъвкаво,"Да, но не се заплаща",София,0
Mid Level,1-3,,,,,,,,,,,,T-SQL,1300,Гъвкаво,"Да, но се заплаща",Варна,150
Senior,5-7,Java,,,,,,,Python,,,,,5300,Гъвкаво,Не,София,0
Mid Level,1-3,,,,JavaScript,,PHP,,,,,,,2800,Стриктно,Не,София,1200
Lead Developer/TL,7-10,,C/C++,,JavaScript,,,,,,,,,5500,Стриктно,"Да, но не се заплаща",София,2000
Senior,10+,,,,JavaScript,,PHP,,,Android,,,,4000,Стриктно,Не,София,0
Senior,10+,Java,,C#,,,,,,Android,Objective-C/Swift,QA Enginner,,6000,Гъвкаво,Не,София,0
Senior,5-7,,C/C++,C#,JavaScript,,,,Python,,,,,4100,Гъвкаво,Не,София,0
Senior,10+,,C/C++,,,,,,,,,,,5000,Гъвкаво,Не,София,0
Lead Developer/TL,10+,Java,,,,,,,Python,,,QA Enginner,,7000,Стриктно,"Да, но се заплаща",София,7000
Lead Developer/TL,5-7,,,C#,,Visual Basic .NET,,,,,,,,5000,Гъвкаво,"Да, но не се заплаща",София,5000
Mid Level,5-7,,,C#,,,,,,,,,,1000,Гъвкаво,Не,София,0
Mid Level,1-3,,,,,,PHP,,,,,,,2500,Гъвкаво,Не,София,0
Mid Level,7-10,,,,,,,,,,,QA Enginner,,2400,Стриктно,Не,Варна,0
Senior,3-5,Java,,,JavaScript,,,,,,,,,3980,Гъвкаво,Не,София,2000
Mid Level,1-3,,,C#,JavaScript,,,,,,,,,1200,Гъвкаво,Не,Плевен,1000
Mid Level,5-7,,,,,,,,,,,,Hardware,1200,Стриктно,Не,Варна,3000
Senior,10+,Java,,,,,,,,,,,,6500,Стриктно,Не,София,0
Mid Level,1-3,,,,,,,,,Android,,,,1700,Гъвкаво,Не,София,89
Junior,3-5,,,C#,,,,,,,,,,1500,Гъвкаво,"Да, но се заплаща",София,8000
Mid Level,1-3,,,,,,,,,,,QA Enginner,,2100,Стриктно,Не,София,0
Mid Level,1-3,,,,JavaScript,,PHP,,,,,,,1000,Стриктно,"Да, но не се заплаща",Варна,400
Mid Level,3-5,,,,,,,,Python,,,,,5000,Гъвкаво,"Да, но не се заплаща",София,10000
Senior,10+,,C/C++,,,,,,,,,,,2800,Гъвкаво,"Да, но не се заплаща",София,1000
Senior,5-7,,,,,,,,Python,,,,,6100,Гъвкаво,"Да, но не се заплаща",София,12000
Senior,10+,,,,,,,Ruby,,,,,,6600,Гъвкаво,Не,Remote,0
Senior,3-5,,C/C++,C#,,,,,,,Objective-C/Swift,,,5000,Гъвкаво,Не,София,0
Senior,10+,,C/C++,C#,,,,,,,,,,5200,Гъвкаво,Не,София,2600
Mid Level,3-5,,,,,,,,,,,QA Enginner,,3200,Гъвкаво,Не,Варна,1500
Mid Level,7-10,,C/C++,,,,,,,,,,SQL,2300,Стриктно,Не,София,0
Senior,3-5,Java,,C#,JavaScript,Visual Basic .NET,PHP,,,Android,,,,3000,Гъвкаво,"Да, но се заплаща",Пловдив,0
Mid Level,3-5,,,,,,,,,,,,Cisco,2500,Стриктно,"Да, но се заплаща",София,0
Lead Developer/TL,10+,,C/C++,,,,,,,,,,,3500,Стриктно,Не,София,3000
Mid Level,1-3,,,,,,,,,Android,,,,1350,Стриктно,Не,София,0
Senior,10+,,,C#,JavaScript,Visual Basic .NET,PHP,,,,,,,5000,Стриктно,Не,София,0
Mid Level,1-3,Java,,,,,,,,,,,,1000,Стриктно,"Да, но не се заплаща",София,0
Mid Level,5-7,,,,,,,,,,,,HTML LESS JS,3200,Гъвкаво,Не,София,1500
Senior,10+,,,,JavaScript,,,,,,,,,3000,Гъвкаво,Не,София,0
Senior,3-5,Java,,,JavaScript,,,,Python,,,,Go,5000,Гъвкаво,Не,София,5000
Lead Developer/TL,10+,Java,,,,,,,,,,,,6000,Гъвкаво,"Да, но се заплаща",София,6000
Junior,<1,,,,JavaScript,,,,,,,,,600,Гъвкаво,Не,Варна,0
Lead Developer/TL,10+,Java,C/C++,,JavaScript,,,,,Android,,,,3600,Гъвкаво,"Да, но не се заплаща",Варна,10000
Senior,7-10,Java,,,,,,,,,,,,4500,Гъвкаво,"Да, но се заплаща",Бургас,10000
Lead Developer/TL,10+,Java,,,JavaScript,,,,,,,,,6000,Стриктно,Не,София,7000
