Ниво,Години опит,Java,C/C++,C#,JavaScript,Visual Basic .NET,PHP,Ruby,Python,Android,Objective-C/Swift,QA Enginner,Other, Заплата,Раб. време,Overtime,Град,Год. Бонус
Mid Level,1-3,,,C#,,,,,,,,,,5000,Гъвкаво,"Да, но се заплаща",София,0
Lead Developer/TL,7-10,,C/C++,C#,,Visual Basic .NET,,,,,,,,6400,Гъвкаво,"Да, но се заплаща",София,0
Mid Level,1-3,,,,,,,,,,Objective-C/Swift,,,2600,Гъвкаво,Не,София,2600
Lead Developer/TL,5-7,Java,,,,,,,,,,,,6600,Стриктно,"Да, но се заплаща",София,0
Lead Developer/TL,10+,Java,,,,,,,,,,,,5000,Стриктно,Не,София,15000
Mid Level,1-3,,C/C++,C#,,,,,,,,,,2000,Гъвкаво,"Да, но не се заплаща",София,0
Lead Developer/TL,7-10,,,,,Visual Basic .NET,,,,,,,,5000,Гъвкаво,"Да, но не се заплаща",София,200
Lead Developer/TL,10+,,C/C++,C#,,,,,,,,,,8000,Гъвкаво,"Да, но не се заплаща",София,15000
Senior,3-5,,C/C++,,,,,,Python,Android,Objective-C/Swift,,,8000,Гъвкаво,"Да, но се заплаща",Бургас,15000
Senior,5-7,Java,,,,,,,,Android,,QA Enginner,,5000,Гъвкаво,Не,София,6000
Mid Level,1-3,,,,JavaScript,,,,,,,,,1200,Гъвкаво,Не,София,350
Mid Level,1-3,,,,JavaScript,,PHP,,,,,,,2000,Гъвкаво,Не,София,0
Junior,<1,Java,,,,,,,,,,,,1800,Гъвкаво,Не,София,0
Mid Level,1-3,,,,JavaScript,,,,,,,,,3000,Стриктно,Не,София,0
Mid Level,5-7,,,,JavaScript,,,,,,,,,1900,Гъвкаво,"Да, но се заплаща",Велико Търново,2000
Junior,<1,,,,JavaScript,,,,,,,,,600,Гъвкаво,Не,София,0
Mid Level,1-3,,,C#,JavaScript,,,,,,,,,2800,Гъвкаво,Не,София,0
Senior,5-7,,,,,,,,,,,,SQL Server,4300,Гъвкаво,"Да, но не се заплаща",София,0
Lead Developer/TL,10+,Java,C/C++,,,,PHP,,,,,QA Enginner,,10000,Гъвкаво,"Да, но се заплаща",София,10000
Junior,<1,,,,JavaScript,,,,,,,,,1000,Стриктно,Не,София,0
Lead Developer/TL,10+,,,,JavaScript,,,,,,,,,6000,Гъвкаво,Не,София,0
Junior,1-3,,,,,,,,,,,,ABAP,2000,Стриктно,Не,София,2500
Senior,7-10,Java,,,,,,,,,,,,5000,Стриктно,"Да, но се заплаща",София,400
Junior,1-3,,,,,,,,Python,,,,,2500,Стриктно,"Да, но се заплаща",София,2000
Junior,1-3,,,,JavaScript,,,,,,,,,200,Гъвкаво,"Да, но не се заплаща",Пловдив,0
Junior,3-5,,,,,,,,,,,QA Enginner,,1200,Гъвкаво,Не,Варна,0
Mid Level,5-7,,,,,,,,Python,,,,,3000,Стриктно,Не,София,0
Lead Developer/TL,7-10,,,,JavaScript,,,,,,,,,8000,Гъвкаво,Не,София,10000
Mid Level,7-10,,,,,,,,,,,,Project Manager,2000,Гъвкаво,Не,София,1500
Junior,<1,,,,JavaScript,,PHP,,,,,,,1350,Гъвкаво,Не,София,0
Lead Developer/TL,7-10,Java,,,,,,Ruby,,,,,,5200,Гъвкаво,"Да, но не се заплаща",София,0
Junior,<1,Java,,,,,,,,,,,,1000,Стриктно,Не,Пловдив,0
Senior,3-5,,,,JavaScript,,,,,,,,,2700,Стриктно,Не,София,5000
Mid Level,3-5,Java,,,,,,,,,,,,5500,Гъвкаво,Не,София,5000
Lead Developer/TL,10+,Java,,,JavaScript,,,,,,,,,4700,Гъвкаво,Не,Русе,0
Lead Developer/TL,10+,,,C#,JavaScript,Visual Basic .NET,,,,,,,Delphi,7100,Стриктно,Не,София,8100
Mid Level,5-7,,,,,,PHP,,,,,,,3200,Стриктно,Не,София,2000
Lead Developer/TL,10+,,C/C++,,JavaScript,,PHP,,Python,,,,,4500,Гъвкаво,"Да, но не се заплаща",София,6000
Lead Developer/TL,7-10,,,C#,,,,,,,,,,5000,Гъвкаво,"Да, но не се заплаща",Варна,2000
Senior,10+,,,C#,,,,,,,,,,5000,Гъвкаво,Не,София,200
Lead Developer/TL,7-10,Java,,C#,JavaScript,Visual Basic .NET,,,,Android,,,,5500,Стриктно,Не,Пловдив,0
Mid Level,5-7,,,,,,,,,,,QA Enginner,,2000,Гъвкаво,Не,София,0
Lead Developer/TL,10+,,,C#,JavaScript,,,,,,,,,6000,Стриктно,"Да, но се заплаща",София,5000
Junior,<1,,,,JavaScript,,,,,,,,,1600,Гъвкаво,"Да, но се заплаща",София,5000
Senior,3-5,,,,,Visual Basic .NET,,,,,,,,3000,Стриктно,"Да, но се заплаща",София,5000
Mid Level,1-3,,,,,,,,,,,,ПМА,3200,Гъвкаво,"Да, но не се заплаща",София,6000
Senior,3-5,,,,JavaScript,,,,,,,,,5100,Стриктно,Не,София,3000
Mid Level,3-5,Java,,C#,JavaScript,,,,,,,,,2800,Гъвкаво,Не,София,1400
Junior,<1,Java,,,,,,,,,,,,1200,Стриктно,Не,София,0
Senior,5-7,,,,,,PHP,,,,,,,4800,Гъвкаво,"Да, но се заплаща",София,14000
Senior,10+,,,C#,JavaScript,,,,,,,,,5800,Стриктно,Не,София,0
Mid Level,3-5,,,,,,,,,,,,System Administration,1800,Гъвкаво,"Да, но се заплаща",София,0
Mid Level,1-3,Java,,,JavaScript,,,,Python,,,,,2000,Гъвкаво,Не,София,0
Lead Developer/TL,7-10,,C/C++,,,,,,,,,,,6000,Гъвкаво,"Да, но не се заплаща",София,0
Mid Level,10+,Java,C/C++,C#,JavaScript,Visual Basic .NET,PHP,,,,,QA Enginner,,1500,Гъвкаво,Не,Варна,0
Lead Developer/TL,1-3,,,,,,,,,Android,,,,2700,Гъвкаво,"Да, но не се заплаща",София,0
Lead Developer/TL,7-10,Java,,,,,,,,,,QA Enginner,,4000,Стриктно,"Да, но не се заплаща",София,0
Mid Level,7-10,,,,,,,,,,,QA Enginner,,3000,Стриктно,"Да, но се заплаща",Варна,0
Senior,7-10,Java,,,JavaScript,,PHP,,,,,,,5000,Гъвкаво,Не,София,5000
Mid Level,1-3,,,C#,,,,,,,,,,1650,Стриктно,"Да, но се заплаща",София,0
Senior,7-10,,,C#,JavaScript,Visual Basic .NET,PHP,,Python,,,,,5099,Гъвкаво,Не,София,0
Senior,7-10,,C/C++,,,,,,,,,,,6000,Гъвкаво,"Да, но не се заплаща",София,10000
Lead Developer/TL,10+,Java,,,,,,,Python,,,,,6000,Гъвкаво,Не,София,0
Junior,<1,,C/C++,,JavaScript,,,,,,,,,2000,Стриктно,Не,София,0
Lead Developer/TL,10+,Java,,C#,,,,,,,,QA Enginner,,3400,Стриктно,"Да, но се заплаща",Варна,0
Lead Developer/TL,10+,,,C#,,,,,,,,,,5000,Гъвкаво,"Да, но не се заплаща",София,0
Senior,10+,Java,,,,,PHP,,,,,,,7000,Гъвкаво,Не,София,0
Senior,5-7,,,,,,,,,,,,Cisco Voice Network Engineer,5000,Стриктно,"Да, но се заплаща",София,0
Junior,<1,,,C#,,,,,,,,,QA,1500,Стриктно,"Да, но се заплаща",София,0
Senior,1-3,Java,,,JavaScript,,,,,,,,,3200,Гъвкаво,Не,София,8000
Lead Developer/TL,5-7,,,C#,JavaScript,Visual Basic .NET,,,,,,,,6000,Стриктно,"Да, но се заплаща",София,0
Junior,3-5,,,,JavaScript,,,,,,,,,1000,Гъвкаво,Не,София,0
Senior,7-10,,,,,,,,,,,,"IT , not DEV",3000,Гъвкаво,"Да, но се заплаща",София,6000
Lead Developer/TL,10+,,,,,,,,Python,,,,,7000,Гъвкаво,"Да, но се заплаща",София,10000
Lead Developer/TL,5-7,,,,JavaScript,,PHP,,,,,,,3400,Гъвкаво,Не,Пловдив,0
Mid Level,1-3,,,,,,PHP,,,,,,,2300,Стриктно,Не,София,2000
Senior,3-5,Java,,,,,,,,Android,Objective-C/Swift,,,3100,Гъвкаво,Не,София,300
Lead Developer/TL,10+,,,,,Visual Basic .NET,,,,,,,,5600,Гъвкаво,"Да, но не се заплаща",София,0
Mid Level,3-5,,,,,,,,Python,,,,,2000,Стриктно,"Да, но не се заплаща",София,0
Mid Level,7-10,,,,,,,,,,,,windows server,1560,Стриктно,Не,Пловдив,0
Junior,<1,Java,C/C++,,,,,,,,,,,1500,Гъвкаво,"Да, но се заплаща",София,0
Senior,5-7,Java,,,JavaScript,,PHP,,Python,,,,,5500,Гъвкаво,"Да, но се заплаща",Remote,5500
Senior,5-7,,,,JavaScript,,,,,,,,,2000,Стриктно,Не,София,2000
Mid Level,1-3,Java,,C#,,,,,,,,,,3200,Гъвкаво,"Да, но се заплаща",София,2000
Senior,7-10,Java,,,JavaScript,,PHP,,,Android,,,go,4000,Стриктно,Не,София,0
Senior,7-10,,,C#,JavaScript,Visual Basic .NET,,,,,,,SharePoint,5000,Стриктно,Не,София,0
Mid Level,1-3,,,,,,PHP,,,,,,,3000,Гъвкаво,Не,София,0
Mid Level,1-3,,,,,,,,,,,,HTML - website support,900,Стриктно,Не,София,900
Mid Level,5-7,,,,,,PHP,,,,,QA Enginner,,2200,Гъвкаво,Не,София,0
Mid Level,1-3,,,,,,,,,,Objective-C/Swift,,,1300,Гъвкаво,"Да, но не се заплаща",София,0
Lead Developer/TL,10+,Java,C/C++,,,,,,,,,,,7000,Стриктно,"Да, но се заплаща",София,5000
Junior,1-3,,,,,,,,Python,,,,,1600,Гъвкаво,Не,София,0
Lead Developer/TL,7-10,,C/C++,C#,,,,,Python,,,,,5500,Гъвкаво,"Да, но не се заплаща",София,10000
Lead Developer/TL,10+,,,,JavaScript,,,,,,,,,5000,Гъвкаво,"Да, но се заплаща",София,0
Lead Developer/TL,1-3,,,,,,,,Python,,,,,4000,Гъвкаво,"Да, но се заплаща",София,600
Lead Developer/TL,10+,Java,C/C++,,,,,,Python,,,,Sql,5500,Стриктно,"Да, но се заплаща",София,4000
Mid Level,1-3,Java,,,,,,,,,,,,1720,Гъвкаво,Не,Бургас,0
Junior,1-3,,,,JavaScript,,,,,,,,,1400,Гъвкаво,Не,София,0
Junior,<1,,,C#,,,,,,,,,,1000,Гъвкаво,Не,София,0
Mid Level,1-3,,,,,,,,,,,,Sap,1200,Стриктно,"Да, но се заплаща",София,2000
Lead Developer/TL,7-10,,,C#,,,,,,,,,,5000,Гъвкаво,Не,София,5000
Mid Level,1-3,,,C#,JavaScript,,,,,,,,,2800,Стриктно,"Да, но се заплаща",София,0
Junior,<1,,,C#,JavaScript,,,,,,,,,700,Стриктно,"Да, но не се заплаща",София,4000
Senior,3-5,,,,,,,,,,,,"Virtualization, monitoring, SDN",3100,Стриктно,Не,София,3500
Junior,1-3,,,,,,,,,,,QA Enginner,,2000,Стриктно,Не,София,4000
Senior,3-5,,,,JavaScript,,PHP,,,,,,,3000,Гъвкаво,Не,София,3000
Junior,1-3,,,,JavaScript,,,,Python,,,,,2000,Гъвкаво,"Да, но се заплаща",София,1000
Senior,7-10,,,,,,,,,,,QA Enginner,,2300,Стриктно,Не,София,0
Mid Level,5-7,Java,,,,,,,,,,,Plsql,3000,Стриктно,Не,София,3000
Mid Level,3-5,,,C#,,,,,,,,,,3600,Стриктно,"Да, но не се заплаща",София,2000
Senior,7-10,,C/C++,,JavaScript,,PHP,,,Android,Objective-C/Swift,,Сървъри,3000,Стриктно,Не,Варна,2000
Lead Developer/TL,7-10,,C/C++,,JavaScript,,PHP,,,,,,,8000,Гъвкаво,"Да, но не се заплаща",София,15000
Senior,5-7,,,,JavaScript,,PHP,,,,,,,3000,Стриктно,"Да, но се заплаща",София,0
Mid Level,3-5,,,C#,,,,,,,,,,2300,Гъвкаво,"Да, но не се заплаща",София,0
Junior,<1,Java,,,,,,,,,,,Angular,1100,Гъвкаво,"Да, но не се заплаща",София,1100
Senior,5-7,,,,,,PHP,,,,,,,2500,Стриктно,"Да, но не се заплаща",Remote,0
Senior,7-10,,,,JavaScript,,,,,,,,,4200,Стриктно,Не,Remote,2000
Senior,7-10,,,,JavaScript,,,,,,,,,5500,Стриктно,Не,София,0
Mid Level,1-3,,,,,,,,,,,QA Enginner,,1600,Гъвкаво,Не,София,0
Mid Level,3-5,Java,,,JavaScript,,,,Python,,,,,2000,Стриктно,"Да, но не се заплаща",София,0
Junior,<1,,C/C++,,,,,,,,,,,1900,Гъвкаво,Не,София,300
Junior,<1,,C/C++,,,,,,,,,,,1200,Стриктно,Не,София,0
Junior,<1,,,,JavaScript,,,,,,,,,1200,Стриктно,"Да, но не се заплаща",София,200
Lead Developer/TL,10+,,C/C++,,JavaScript,,,,,,,,,3000,Стриктно,Не,София,0
Lead Developer/TL,5-7,,,,,,PHP,,,,,,,4100,Гъвкаво,Не,Пловдив,0
Lead Developer/TL,3-5,,,,JavaScript,,PHP,,,,,,,3600,Стриктно,Не,София,5000
Mid Level,1-3,,,C#,,,,,,,,,,2000,Гъвкаво,Не,София,600
Mid Level,3-5,Java,,C#,JavaScript,,PHP,,,,,,,2500,Гъвкаво,"Да, но се заплаща",София,2500
Mid Level,1-3,,,,JavaScript,,PHP,,,,,,,1300,Гъвкаво,"Да, но се заплаща",Пловдив,0
Senior,7-10,,,,,,,,,,,QA Enginner,DevOps,3406,Гъвкаво,Не,София,1773
Senior,10+,,,C#,JavaScript,,,,,,,,,5000,Гъвкаво,"Да, но се заплаща",Remote,0
Senior,5-7,,C/C++,,,,,,,,,,,3000,Стриктно,"Да, но не се заплаща",София,1000
Senior,5-7,,,C#,JavaScript,Visual Basic .NET,,,,,,,,4650,Гъвкаво,"Да, но се заплаща",София,6000
Junior,<1,Java,C/C++,,,,,,,,,,,1000,Гъвкаво,"Да, но не се заплаща",София,200
Lead Developer/TL,10+,Java,,,,,,,,,,,,6500,Гъвкаво,Не,София,2000
Lead Developer/TL,10+,Java,,,JavaScript,,PHP,,,,,,,4500,Гъвкаво,Не,Варна,2000
Junior,1-3,,C/C++,,,,,,,,Objective-C/Swift,,,1000,Гъвкаво,Не,София,1000
Lead Developer/TL,10+,Java,C/C++,C#,JavaScript,Visual Basic .NET,PHP,,,,,,,10000,Гъвкаво,"Да, но се заплаща",София,15000
Junior,<1,,,C#,JavaScript,,,,,,,,,1000,Гъвкаво,Не,София,100
Junior,1-3,,,C#,JavaScript,,,,,,,,,1400,Гъвкаво,"Да, но се заплаща",Remote,0
Senior,5-7,Java,C/C++,,,,PHP,,,,,,,4500,Стриктно,Не,Пловдив,4500
Lead Developer/TL,10+,,,C#,,,,,,,,,,5600,Гъвкаво,"Да, но се заплаща",Remote,0
Lead Developer/TL,10+,,,,JavaScript,,PHP,,Python,Android,Objective-C/Swift,,,5600,Стриктно,Не,София,2640
Lead Developer/TL,10+,,,,,,,,,,,,hardware and win server,2166,Стриктно,Не,Велико Търново,200
Senior,10+,Java,,,JavaScript,,,,,,,,,4000,Стриктно,"Да, но се заплаща",София,1300
Junior,<1,,,,,,,,,,,,Web design,1200,Стриктно,Не,София,0
Mid Level,3-5,,,C#,JavaScript,,,,Python,,Objective-C/Swift,,,2500,Гъвкаво,"Да, но се заплаща",Русе,1000
Junior,1-3,Java,,,,,,,,,,,,2300,Стриктно,Не,София,2000
Mid Level,3-5,Java,,,,,,,,,,,,5980,Гъвкаво,"Да, но не се заплаща",София,0
Junior,1-3,,,,JavaScript,,,,,,,,,1600,Стриктно,Не,София,200
Senior,5-7,Java,,C#,JavaScript,Visual Basic .NET,,,,,,,,5000,Гъвкаво,Не,София,11000
Lead Developer/TL,1-3,,,C#,JavaScript,,,,,,,,,2500,Гъвкаво,Не,София,0
Lead Developer/TL,10+,Java,,C#,,,,,,,,,,6600,Стриктно,Не,София,0
Mid Level,1-3,,,C#,JavaScript,,,,,,,,,2500,Стриктно,Не,Remote,1000
Junior,<1,,C/C++,,,,,,Python,,,,,3100,Гъвкаво,Не,София,4000
Senior,7-10,Java,,,,,,,Python,,,QA Enginner,,5000,Гъвкаво,Не,София,2500
Junior,1-3,,,,JavaScript,,PHP,,,,,,,500,Гъвкаво,"Да, но се заплаща",Варна,100
Lead Developer/TL,10+,,C/C++,,,,,,,,,,,6000,Гъвкаво,Не,София,1500
Senior,10+,,C/C++,,JavaScript,,,,,,,,,6000,Стриктно,Не,Русе,0
Mid Level,10+,,,,JavaScript,,,,,Android,Objective-C/Swift,,,3000,Гъвкаво,Не,София,3000
Senior,10+,,C/C++,,,,,,,,,,,4800,Стриктно,Не,София,1000
Mid Level,1-3,,,,,,PHP,,,,,,,1600,Гъвкаво,Не,София,200
Junior,1-3,,,,JavaScript,Visual Basic .NET,,,,,,,,1050,Стриктно,"Да, но се заплаща",Варна,1050
Lead Developer/TL,10+,,,,JavaScript,,PHP,,,,,,,8000,Гъвкаво,"Да, но не се заплаща",София,15000
Mid Level,5-7,,C/C++,,,,,,Python,,,,,3600,Гъвкаво,Не,Варна,0
Junior,3-5,Java,,,,,,,,,,,,1700,Стриктно,Не,София,2000
Lead Developer/TL,5-7,,,,JavaScript,,PHP,,,,,QA Enginner,UI,9440,Гъвкаво,"Да, но се заплаща",София,4000
Junior,<1,,,C#,JavaScript,,,,,,,,,1100,Гъвкаво,"Да, но не се заплаща",София,0
Senior,7-10,,C/C++,,,,PHP,Ruby,,,,,,5400,Гъвкаво,"Да, но не се заплаща",София,12000
Junior,<1,Java,,C#,JavaScript,,,Ruby,,,,,,1000,Гъвкаво,Не,София,0
Senior,3-5,,,,,,PHP,,,,,,,2500,Гъвкаво,"Да, но не се заплаща",Remote,0
Junior,<1,,C/C++,,,,,,,,,,,2000,Стриктно,Не,София,0
Senior,10+,,,,JavaScript,,,,,,,,,4000,Гъвкаво,"Да, но не се заплаща",София,3000
Senior,10+,Java,,,,,,,,,,,,4700,Гъвкаво,Не,София,9600
Junior,<1,Java,,,,,PHP,,,,,,,4000,Гъвкаво,"Да, но се заплаща",Русе,12000
Lead Developer/TL,7-10,,,,JavaScript,,PHP,,,,,,,5300,Стриктно,Не,София,5000
Lead Developer/TL,5-7,,,,,Visual Basic .NET,,,Python,Android,Objective-C/Swift,,,3000,Стриктно,"Да, но не се заплаща",Варна,0
Junior,1-3,,C/C++,,,,,,,,,,,3000,Гъвкаво,Не,София,0
Senior,7-10,Java,C/C++,,,,,,,Android,,,,3500,Стриктно,Не,Пловдив,2000
Senior,3-5,,,,,,PHP,,,,,,,3000,Гъвкаво,Не,Варна,0
Lead Developer/TL,10+,Java,,,JavaScript,,PHP,,,Android,,,,5000,Гъвкаво,Не,София,0
Lead Developer/TL,10+,Java,,,,,,,,,,,,5000,Гъвкаво,Не,София,0
Junior,<1,Java,,,,,,,,,,,,1900,Гъвкаво,Не,София,2000
Senior,3-5,Java,,,JavaScript,,,,,,,,Go,2500,Стриктно,Не,Велико Търново,2500
Junior,<1,,,,JavaScript,,,,Python,,,,,2300,Гъвкаво,"Да, но се заплаща",София,0
Senior,7-10,Java,,,JavaScript,,,,,,,,,5000,Гъвкаво,"Да, но не се заплаща",София,10000
Lead Developer/TL,10+,,,C#,JavaScript,,,,,,,,,7500,Стриктно,Не,София,0
Mid Level,1-3,Java,,,,,,,Python,,,,,1500,Стриктно,Не,София,0
Mid Level,3-5,,,,,,,,,,,,Analyst,1700,Стриктно,"Да, но се заплаща",София,0
Lead Developer/TL,10+,,,,JavaScript,,PHP,,,,,,,10000,Стриктно,"Да, но се заплаща",София,15000
Lead Developer/TL,7-10,,,,JavaScript,,,,,,,,,4900,Гъвкаво,"Да, но се заплаща",София,0
Junior,1-3,,,C#,JavaScript,,PHP,Ruby,,,,,,1300,Стриктно,Не,София,0
Mid Level,3-5,,C/C++,,,,,,,,,,,2500,Гъвкаво,"Да, но не се заплаща",София,0
Mid Level,1-3,,,,,,,,,,,QA Enginner,,2000,Стриктно,"Да, но се заплаща",Пловдив,2000
Mid Level,3-5,,,C#,,Visual Basic .NET,,,,,,,,2900,Гъвкаво,Не,София,0
Senior,7-10,,,C#,JavaScript,,,,,,,,,3000,Гъвкаво,Не,Варна,500
Junior,<1,Java,,,,,,,,,,,,900,Стриктно,Не,София,1200
Senior,7-10,Java,,C#,,,PHP,Ruby,Python,,,,,4000,Гъвкаво,"Да, но се заплаща",Варна,0
Lead Developer/TL,7-10,Java,,,,,,,,,,,,4000,Гъвкаво,Не,Пловдив,4000
Senior,10+,,,C#,JavaScript,,,,,,,,,5500,Гъвкаво,Не,София,1000
Senior,10+,Java,,,JavaScript,,,,,,,,,7000,Гъвкаво,"Да, но не се заплаща",Варна,14000
Junior,1-3,Java,,,,,,,,,,,,3300,Стриктно,Не,София,3500
Junior,1-3,,,,,,,,,,,QA Enginner,,1250,Стриктно,Не,София,0
Mid Level,1-3,,,C#,,,,,,,,,,2000,Гъвкаво,Не,София,1000
Senior,3-5,Java,,C#,JavaScript,Visual Basic .NET,,,,,,,,4000,Стриктно,"Да, но се заплаща",София,5000
Junior,<1,,,,,,,,,,,QA Enginner,,2200,Гъвкаво,"Да, но се заплаща",София,10000
Lead Developer/TL,3-5,Java,,C#,,Visual Basic .NET,,,,,,QA Enginner,,4000,Стриктно,Не,София,0
Junior,<1,,,,,,PHP,,,,,,,700,Стриктно,Не,Варна,300
Junior,1-3,,,C#,,,,,,,,,,1500,Гъвкаво,"Да, но се заплаща",София,5000
Lead Developer/TL,10+,,C/C++,C#,JavaScript,,PHP,,,,,,,6450,Гъвкаво,"Да, но не се заплаща",София,0
Senior,5-7,,,C#,,,,,,,,,,2400,Гъвкаво,Не,София,13000
